source1_entity_id	matched_entity_ids
S1-889584874	S2-352419749,S2-994448288,S3-746896221,S3-818808063
S1-926018314	
S1-90128015	S2-417056729,S2-634828192,S2-739300013,S2-95532885,S3-194534667,S3-23931026,S3-653694476,S3-808119831,S3-913125913,S3-936475929
S1-748243940	
S1-543291404	S2-4286536,S2-55394803,S2-722545494,S2-971266074,S3-109161881,S3-339136145,S3-570387158,S3-587882997,S3-687618912,S3-694133120,S3-705463599
S1-878904744	S2-145618445,S2-274132818,S2-276015201,S2-508748335,S2-518497391,S2-680601935,S2-738562005,S2-813691423,S2-905112759,S2-909744601,S2-91546479,S2-928454147,S2-940683239,S2-977784405,S3-115424379,S3-426491781,S3-533121620,S3-544964333,S3-610164296,S3-630233885,S3-712090360,S3-759050738,S3-851585697,S3-935917868
S1-778456014	
S1-887285254	S2-357039906,S3-36409185
S1-387008828	
S1-338441694	S3-148616193,S3-256270849,S3-465698998,S3-783026006
S1-407730822	S2-83018575
S1-584442364	S2-443217275
S1-590082446	S2-707349349,S3-56495330,S3-990878952
S1-629969170	
S1-883468618	S2-810478522
S1-904228116	S2-21940920,S2-279119116,S2-33340879,S2-401225621,S2-422407375,S2-484777261,S2-551972962,S2-560561577,S2-56840877,S2-586890860,S2-588587673,S2-60940842,S2-625611610,S2-661154904,S2-711172271,S2-743950960,S2-792710324,S2-819981302,S2-843259681,S2-931998564,S2-988439909,S3-170889337,S3-178855938,S3-191987917,S3-2527636,S3-265857788,S3-280028748,S3-294772192,S3-305879127,S3-335435114,S3-350815792,S3-37290277,S3-406203149,S3-438357005,S3-489455034,S3-490049131,S3-492367560,S3-619993571,S3-628246869,S3-696733706,S3-712197855,S3-718040017,S3-767601531,S3-852038913,S3-879352492,S3-887268724,S3-925277032,S3-94893528,S3-963954597,S3-969476799,S3-996218926
S1-805104360	S2-162763662,S2-75259798
S1-224534945	
S1-631840437	S3-559584807
S1-117902162	
S1-381957415	S2-173186952
S1-258353664	
S1-745976550	S2-749740915
S1-164240371	S2-116454556,S2-137449309,S2-191683077,S2-212384958,S2-226686997,S2-292525304,S2-316069728,S2-321885704,S2-362132304,S2-365383242,S2-372746065,S2-380667741,S2-429431883,S2-456783081,S2-510548658,S2-527489149,S2-529704652,S2-538629540,S2-556036858,S2-566038658,S2-580566133,S2-584866593,S2-586937287,S2-588713892,S2-600308870,S2-610408533,S2-614526233,S2-652495630,S2-653639537,S2-710612469,S2-789529163,S2-797378102,S2-802776873,S2-815087505,S2-833733511,S2-844387416,S2-853605804,S2-875879367,S2-879635709,S2-890091248,S2-890241516,S2-962030681,S2-968713593,S2-976073661,S3-104343502,S3-147090066,S3-158225838,S3-207076511,S3-20961692,S3-258225582,S3-266478254,S3-274818984,S3-290937767,S3-300049898,S3-301497938,S3-343751308,S3-348837026,S3-361413800,S3-41183257,S3-415774266,S3-437809870,S3-452772648,S3-460868914,S3-493600932,S3-52035656,S3-523892904,S3-526426999,S3-527064451,S3-534041813,S3-534640591,S3-537502376,S3-571104076,S3-572309146,S3-599906110,S3-604335786,S3-612140424,S3-648739269,S3-662612205,S3-671398336,S3-677295459,S3-680572341,S3-69927154,S3-702961294,S3-713717744,S3-719109719,S3-752920277,S3-790625647,S3-812929881,S3-850313641,S3-854510576,S3-882385394,S3-897114489,S3-954776406,S3-976883893
S1-346603579	
S1-328371553	S2-331291582,S2-498981187,S3-448042757,S3-519089645
S1-542424915	
S1-116081375	S2-320556822,S2-639843159,S2-857919718,S3-858500389
S1-956108284	
S1-599703679	S2-493073458,S3-454365443
S1-159067707	
S1-590285242	S2-873652487
S1-378978603	S2-319300693,S3-948532405
S1-730858380	S2-391022115,S2-65394735,S2-926017733,S3-482235589,S3-56223296,S3-670576122,S3-729631587,S3-791006606,S3-928584421,S3-953394835
S1-101076392	S2-11431628,S2-143316110,S2-184318257,S2-293182344,S2-323329812,S2-405820363,S2-491345903,S2-568970390,S2-573619666,S2-645450968,S2-664824324,S2-863034257,S3-110600953,S3-161338896,S3-240637925,S3-307601197,S3-33611043,S3-362900913,S3-566112801,S3-634347112,S3-74071440,S3-776111444,S3-779579759,S3-815775749,S3-828589688,S3-833746176,S3-852218306,S3-897406794
S1-635491453	
S1-148845479	S2-480666912,S2-692734123
S1-29696416	S2-240191300,S2-247731967,S2-626110866,S2-819752796,S3-695725998,S3-731983254,S3-903524830
S1-684012770	S2-724887083
S1-71172417	S3-287382200,S3-402268759
S1-8813651	S2-255519520,S2-472648141,S2-571533930,S3-127656687,S3-459172732,S3-938069261
S1-183363639	
S1-999555430	
S1-633779655	
S1-913042783	
S1-558031216	S3-638816791
S1-690538628	S3-43480099
S1-86804153	S2-544802052
S1-92768400	
S1-246225268	
S1-979509841	
S1-942087593	
S1-566485202	S2-190669059,S2-402416262,S2-464649285,S2-582740880,S2-584260599,S2-622945248,S2-66029906,S2-720833780,S2-764705706,S2-798809667,S2-885957290,S2-888495874,S2-921289838,S3-176917042,S3-209658644,S3-219004929,S3-223442203,S3-245337122,S3-310028263,S3-381302683,S3-471822704,S3-564194239,S3-588698082,S3-64719861,S3-652435905,S3-657655531,S3-669563589,S3-722800072,S3-726496673,S3-801734314,S3-827144931,S3-918192685,S3-926561005
S1-360188878	S2-162663361,S2-227618839,S2-396986718,S2-428407805,S3-342414849,S3-462040782,S3-491582452,S3-800837379,S3-937062820
S1-607646145	S2-314981779,S2-538148158
S1-422926253	S2-906882157,S3-282347594
S1-92729851	S3-116059871,S3-235238935,S3-534000299,S3-632406149,S3-75898938
S1-674558177	
S1-126393436	S2-304368422,S2-557309656,S2-606489019,S2-666215120,S2-772395542,S3-363869379,S3-465331873,S3-510233406,S3-578575002,S3-642341598,S3-949126273
S1-806365059	
S1-180523534	S2-258900347
S1-713966229	
S1-790887991	S2-332289329
S1-46049969	
S1-106691524	S2-191744310
S1-183540234	
S1-545370440	S3-105031946
S1-410040347	S2-159802029,S2-208904505,S2-219258657,S2-242450563,S2-295157925,S2-349894523,S2-362620117,S2-365645392,S2-409910382,S2-421813410,S2-543230958,S2-55463095,S2-564275605,S2-580976853,S2-601450161,S2-604128627,S2-696869456,S2-704689530,S2-71146765,S2-720960247,S2-74286261,S2-749802117,S2-754600929,S2-776808197,S2-790853511,S2-796007960,S2-820607111,S2-846257270,S2-909989223,S2-935539809,S2-961816009,S3-1293573,S3-156155501,S3-188478563,S3-194540694,S3-233776573,S3-289580082,S3-294552417,S3-350090987,S3-360815458,S3-371016739,S3-411789465,S3-430756604,S3-431765273,S3-473163214,S3-581911665,S3-58490329,S3-611169557,S3-664320553,S3-705890772,S3-722311611,S3-794807286,S3-808007449,S3-815757475,S3-838530938,S3-845353696,S3-948890363
S1-174390454	S3-756105587
S1-695737678	S2-535872942
S1-143410687	S2-585945975,S2-851996813,S3-471022502
S1-690898835	S3-893743745
S1-196054265	S2-790558998
S1-710909094	
S1-171653159	S2-99668468
S1-861378966	S2-641684012,S2-897233130,S3-10055341
S1-60629534	S2-137573698,S2-182180766,S2-238670053,S2-258728595,S2-297552141,S2-301829070,S2-304078841,S2-304094129,S2-311420273,S2-321336256,S2-324833020,S2-341591602,S2-354838646,S2-361034597,S2-402666094,S2-402963499,S2-406292225,S2-420798477,S2-452120619,S2-453426959,S2-466947799,S2-474313397,S2-497650762,S2-509666413,S2-512781420,S2-535272759,S2-538604313,S2-564189709,S2-577229703,S2-586329798,S2-597521452,S2-601910820,S2-613404925,S2-627912204,S2-649670521,S2-658011747,S2-687374012,S2-690801561,S2-703360896,S2-767857391,S2-768497130,S2-774225894,S2-779596932,S2-781992355,S2-790133099,S2-793268390,S2-796992574,S2-804730461,S2-809621154,S2-822263812,S2-849767972,S2-873023836,S2-873442016,S2-881717349,S2-886991101,S2-969331290,S3-137787347,S3-145562062,S3-14886287,S3-154979407,S3-171588101,S3-17181076,S3-181333362,S3-199603714,S3-204532427,S3-207466261,S3-210252104,S3-240805441,S3-241326686,S3-259868385,S3-262843262,S3-266020897,S3-282724180,S3-28470402,S3-297933318,S3-313207433,S3-316064006,S3-351115609,S3-386396160,S3-412324321,S3-431368982,S3-441797035,S3-477875032,S3-486946888,S3-513845138,S3-51893900,S3-527957432,S3-529532694,S3-538060062,S3-569247646,S3-58490276,S3-603751874,S3-609306281,S3-620842611,S3-629009607,S3-629969714,S3-630859509,S3-667044282,S3-667085626,S3-689147391,S3-690990561,S3-701425696,S3-708184115,S3-726744926,S3-75034937,S3-751636209,S3-786410200,S3-806850409,S3-809915610,S3-828999910,S3-840529575,S3-850522466,S3-854772836,S3-855838950,S3-878959434,S3-879082264,S3-882971351,S3-887883480,S3-895997437,S3-918085135,S3-92009006,S3-935718118,S3-938755269,S3-943037168,S3-96436751,S3-98016796,S3-989178492,S3-998379332
S1-679782609	S3-455825701
S1-150829563	S2-235216607,S2-580211432,S3-665527259
S1-986863583	
S1-67904101	
S1-552720726	
S1-531110798	S2-529698396,S3-295532766
S1-88905792	S3-927833760
S1-403028834	
S1-279014952	
S1-66101502	
S1-419304665	S2-622490934
S1-189831319	S2-177650121,S2-330698825,S2-401836945,S3-799915301,S3-986543737
S1-464514986	S2-131146590,S2-156337965,S2-323858217,S2-378997109,S2-441876732,S2-448823330,S2-454157938,S2-471816431,S2-488747950,S2-529868364,S2-588906972,S2-63448492,S2-749229713,S2-758940532,S2-760459653,S2-768304944,S2-840279359,S2-842684507,S2-844831526,S2-853564371,S2-977504828,S3-113289432,S3-131580229,S3-230625679,S3-258522271,S3-269486703,S3-302141203,S3-329214546,S3-431807164,S3-490482939,S3-496888693,S3-53403356,S3-536796318,S3-55634563,S3-598010073,S3-616893537,S3-620337822,S3-834513129,S3-835153224,S3-851511679,S3-916427214
S1-418896338	S3-144430315
S1-492793391	
S1-648894561	S2-126828811,S2-192585647,S2-292852934,S2-962852048,S3-152315790,S3-349118016,S3-604258922,S3-657220812,S3-906141247,S3-938333417,S3-976092126
S1-143671838	S3-177683105,S3-876790795
S1-851799346	
S1-804171096	S2-114535787,S2-174105297,S2-252337943,S2-309001132,S2-31326052,S2-324093435,S2-358530411,S2-405538651,S2-577913160,S2-601344030,S2-624842303,S2-644179888,S2-6839181,S2-685933796,S2-71545151,S2-734187242,S2-747468532,S2-762974035,S2-775265836,S2-802657491,S2-808683262,S2-922212787,S2-931816232,S2-971905855,S3-130799845,S3-143090877,S3-161259713,S3-170228242,S3-197769994,S3-342485616,S3-387727822,S3-429880418,S3-471720838,S3-472734844,S3-502084231,S3-511674812,S3-574665074,S3-670005634,S3-699139123,S3-758378823,S3-847255257,S3-8744897,S3-910166876
S1-751608780	S3-480624787
S1-163766842	
S1-569100881	S3-928204592
S1-104955523	
S1-291991311	S2-605384211,S3-154850409
S1-364278564	S2-108618804,S2-168637748,S2-178279399,S2-17842945,S2-205145121,S2-227173740,S2-315502023,S2-348187600,S2-379647868,S2-401057682,S2-437093408,S2-468032085,S2-481243066,S2-488185832,S2-501947304,S2-518867239,S2-550036088,S2-593721310,S2-619356510,S2-683127361,S2-778898826,S2-815481472,S2-854199468,S2-861053482,S2-87255063,S2-898951263,S2-948062570,S2-97881363,S3-118805849,S3-152059197,S3-15753983,S3-201940690,S3-262107916,S3-478842629,S3-525822198,S3-561514609,S3-56911398,S3-570652341,S3-589351319,S3-637825988,S3-65269573,S3-683837036,S3-73656791,S3-786988591,S3-832940743,S3-838431273,S3-870986033,S3-876349956,S3-895616279,S3-928761887,S3-959253395,S3-975108230
S1-965040695	
S1-509571057	S2-874755440
S1-150821320	
S1-78166516	
S1-112860356	S2-660336711,S2-796780089,S2-880282355,S3-154034175,S3-306544206,S3-345971841,S3-651103852
S1-419129929	S2-380224939,S3-801452060
S1-40045119	S3-987704465
S1-837908386	S2-106061117,S2-280526082,S2-315353318,S2-656461507,S2-802745560,S2-902215078,S2-908206698,S2-948914060,S3-22564749,S3-345115417,S3-466939950,S3-5970881,S3-8019122,S3-830327797,S3-907630015
S1-967500830	S2-11993059,S2-149218229,S2-201204067,S2-216271529,S2-224179228,S2-232280069,S2-246146413,S2-262852676,S2-305013417,S2-370867674,S2-378861859,S2-395809264,S2-40249186,S2-412392565,S2-457655426,S2-458400176,S2-481695037,S2-491209598,S2-514275346,S2-51689157,S2-56552454,S2-716005462,S2-755531027,S2-76167482,S2-788181838,S2-802342714,S2-808331599,S2-812062728,S2-812211103,S2-829886773,S2-846186541,S2-847247393,S2-867274590,S2-880035586,S2-909891320,S2-913380495,S2-983249780,S3-118246467,S3-233682356,S3-235759783,S3-243425085,S3-244129298,S3-330695791,S3-344300009,S3-352896458,S3-405308386,S3-447820822,S3-476546652,S3-498146562,S3-587828695,S3-598996651,S3-605591909,S3-6129113,S3-654799725,S3-669502574,S3-690648463,S3-717880606,S3-727097916,S3-731176603,S3-74216485,S3-748439687,S3-754100386,S3-83674179,S3-862384686,S3-950365823,S3-954473853,S3-960788153,S3-999742775
S1-718976444	
S1-304297041	S2-235923079,S2-480080780,S2-678256933,S3-12722982,S3-885658174,S3-920254896,S3-984130367
S1-177943533	S3-191166289,S3-313237894
S1-868064087	
S1-409256428	S2-212973319,S2-343307170,S2-445392213,S2-769672821,S3-769376207,S3-90992939,S3-955417370
S1-631031485	S2-193418122,S2-786765882,S3-234207725,S3-669786687,S3-830765926
S1-16807998	S2-514732999
S1-600462984	
S1-240050566	S2-103838657,S2-115353583,S2-117826515,S2-302165005,S2-352783376,S2-473231973,S2-47806900,S2-539842882,S2-562544106,S2-564377611,S2-583639000,S2-680975658,S2-926297831,S2-99392392,S3-110644764,S3-238694690,S3-30795245,S3-712198634,S3-732081353,S3-763453700,S3-886077092,S3-950275427
S1-840622396	
S1-130034572	
S1-164072881	S2-493034918,S3-198970565,S3-472773175,S3-779046844,S3-79930823,S3-942400352
S1-587645790	
S1-577250550	
S1-487652257	
S1-281725882	S3-293567226
S1-562163221	S2-825740556,S3-513060211,S3-615928619
S1-92502000	
S1-268149339	S2-486273508,S2-52103124,S2-538911360,S2-728028284,S3-417951499,S3-432520376,S3-818726307,S3-939834036
S1-667406578	
S1-908498505	S3-94823859
S1-156883486	S2-545445857
S1-368846142	S2-212087582,S2-319915303,S2-925601432,S2-977117507,S3-929447769
S1-231101064	
S1-372903225	
S1-621386822	S2-218251804,S2-237349275,S2-480699991,S2-834796227,S3-179286633,S3-299932512,S3-354522799,S3-44731232,S3-710570619,S3-794109209,S3-85594725
S1-238012566	S2-231992389,S3-532526706
S1-96384915	S2-43615368,S2-978941153,S3-267444974,S3-537319041
S1-307702274	S3-573134503,S3-802429341
S1-933356469	
S1-164830224	S2-858795480,S2-968176355,S3-386608562
S1-100405609	
S1-234407650	S2-487860937
S1-725482440	S2-663509954,S2-694489189,S3-455459682,S3-520257332
S1-192345497	S2-111037448,S2-131249648,S2-139721269,S2-166212958,S2-166629686,S2-173537861,S2-211858737,S2-21447609,S2-252232091,S2-275024099,S2-344853493,S2-39207752,S2-421334823,S2-422587497,S2-43966397,S2-460474546,S2-466082368,S2-503060972,S2-541317317,S2-596550907,S2-653681561,S2-654869228,S2-669866141,S2-687282843,S2-75468060,S2-757102457,S2-780637565,S2-791662246,S2-800975295,S2-842325635,S2-846483854,S2-918600529,S2-928189604,S2-951528999,S2-952433482,S2-95637232,S2-956768477,S3-150466992,S3-162284067,S3-16702027,S3-17264249,S3-204136739,S3-298995691,S3-319371498,S3-326515538,S3-343331632,S3-376681146,S3-377921923,S3-381282310,S3-385432178,S3-403449274,S3-443596954,S3-459087797,S3-480372399,S3-487950397,S3-489060795,S3-496267554,S3-575000087,S3-579435741,S3-579547752,S3-636889763,S3-649785962,S3-657553813,S3-729336543,S3-736364974,S3-77075443,S3-858109006,S3-861810089,S3-864351399,S3-878218550,S3-91102374,S3-92208228,S3-953200676,S3-984034609,S3-993661830,S3-994210587
S1-622515318	S2-163040146,S3-189842571,S3-229245476,S3-361447516,S3-925687815
S1-59409377	
S1-319952925	
S1-111867989	
S1-580992307	
S1-684624531	S2-323835149,S2-718031918,S2-826880389,S2-886424757,S3-859408849
S1-744424482	S3-127543142,S3-32913575,S3-933426039
S1-160617128	
S1-388951829	
S1-502282153	
S1-554328643	S3-107376097
S1-959189311	
S1-355110377	
S1-419243203	
S1-791484925	
S1-607311453	
S1-823066174	S3-949799299
S1-169036830	
S1-345107626	S2-356347077,S3-502648114
S1-748540962	
S1-277014552	S2-861409135,S2-88592036,S3-372993936,S3-427180302,S3-458737985,S3-776079376,S3-97940486
S1-912273534	S2-861590334,S2-875028305
S1-456715439	
S1-637465929	
S1-526349990	
S1-296323848	S3-287113994,S3-538333950,S3-709940032,S3-834384688
S1-547546143	S3-550084090
S1-80960427	
S1-609323033	S3-311656040
S1-523354110	
S1-231416129	S2-147206569,S2-252501948,S2-264848950,S2-531748529,S2-727950649,S2-769346711,S2-774332953,S2-852482795,S2-871915738,S2-88783296,S2-914424202,S2-946649970,S3-125554519,S3-141607468,S3-141687252,S3-153581969,S3-206778257,S3-258636698,S3-260727363,S3-299638148,S3-355836498,S3-489171975,S3-555378267,S3-600167395,S3-632577697,S3-665690866,S3-672935125,S3-675779430,S3-714885789
S1-460133008	
S1-676648395	S2-408160455,S2-591164052,S2-70813101,S2-78765286,S2-982661016,S3-70982860,S3-887927883
S1-972836911	
S1-292830915	S3-662859543
S1-51101506	S2-436785911
S1-509332273	
S1-127222577	
S1-589521969	
S1-208167915	
S1-420226248	S3-342972447
S1-512080827	S3-743745202
S1-151302070	S3-838654132
S1-670025586	
S1-529148390	S3-336669922
S1-12487330	
S1-831133424	S2-10010122,S2-116511240,S2-299650541,S2-311290774,S2-430165901,S2-458302643,S2-498737681,S2-504274780,S2-516442176,S2-546939302,S2-627169949,S2-668935218,S2-850151951,S2-867009585,S2-867844802,S2-926125961,S2-961922894,S2-967643153,S3-101685115,S3-161873497,S3-213377522,S3-265131235,S3-346471842,S3-359903504,S3-41436056,S3-525766947,S3-647054554,S3-657417411,S3-663009780,S3-698020922,S3-702074374,S3-767506729,S3-77315700,S3-832140265,S3-881513160,S3-929730165,S3-936274379,S3-945379043
S1-671445253	
S1-700600281	S2-206261754,S2-389387937,S2-605128605,S3-562636082,S3-850209366
S1-857022301	S2-212414802,S2-644360749
S1-64140802	
S1-690449852	S2-36302872
S1-391697975	
S1-486510827	S3-600304263,S3-669094084,S3-690386594,S3-871620510
S1-516705356	S3-574098164
S1-275228042	S2-11319194,S2-1167588,S2-137307108,S2-157259440,S2-262526602,S2-331170523,S2-343339748,S2-349741010,S2-358034894,S2-453580485,S2-487187500,S2-511490820,S2-552012130,S2-556488379,S2-569920242,S2-599958393,S2-621386979,S2-639840252,S2-646305909,S2-651760425,S2-689614474,S2-699784318,S2-742582916,S2-767897976,S2-826713488,S2-87098651,S2-922535692,S2-928275273,S2-982862865,S3-147220546,S3-356048935,S3-379413510,S3-418025899,S3-480146750,S3-515914744,S3-524356911,S3-528691077,S3-53100727,S3-607566665,S3-666876629,S3-715189541,S3-729675099,S3-762425308,S3-776894879,S3-831112454,S3-85301315,S3-855554852,S3-870815477,S3-914972459,S3-923463730,S3-937835975,S3-951084130,S3-959565852,S3-999657636
S1-612138552	S3-90097648
S1-571214733	
S1-906686327	S2-467328484,S2-476306993,S2-831151307,S2-924530803,S3-321682482,S3-590089755,S3-680733747,S3-995737219
S1-939880982	
S1-60980827	
S1-476385483	S2-333654899,S2-683713053,S2-930891892,S3-750466753
S1-359497386	S3-24948288,S3-66703412,S3-787205673
S1-791947968	
S1-2106291	S2-171266772,S2-274227954,S3-218489164,S3-312513624,S3-497767393,S3-506993569,S3-69936804,S3-818217754
S1-802762694	S2-887167913,S3-47560812,S3-901849053
S1-763758768	S2-263624666
S1-368557784	S3-5156599
S1-801306682	S2-194225593,S2-208345721,S2-331994467,S2-376402707,S2-395982728,S2-585531285,S2-708003956,S2-708304422,S2-798671710,S3-104499934,S3-24378999,S3-346718371,S3-570101187,S3-934990887
S1-910150597	
S1-204397870	S3-782613530
S1-853669737	
S1-170998977	
S1-72369296	S2-856062933
S1-114279394	
S1-558634684	S2-517985367,S2-674284128,S3-255208614,S3-480292832,S3-784627409,S3-957506021
S1-185338284	
S1-352005417	S2-178461302
S1-870254921	
S1-574943722	S2-830367081,S3-128042430,S3-289966701,S3-658479025
S1-829163315	S2-155967307
S1-657654513	S2-22176152,S3-711484041
S1-623261026	S2-108985226,S2-109032914,S2-109828025,S2-126183216,S2-127908329,S2-13336570,S2-134628340,S2-136391307,S2-138450752,S2-148187482,S2-167710529,S2-170791252,S2-189261509,S2-195060102,S2-201518975,S2-203543693,S2-209496581,S2-221151351,S2-221431035,S2-226795914,S2-236522160,S2-238756268,S2-239514385,S2-240526611,S2-243244058,S2-244437991,S2-258799246,S2-273134333,S2-278447227,S2-280983023,S2-285476013,S2-291860287,S2-298484327,S2-303243415,S2-307348908,S2-319156261,S2-325591498,S2-330818919,S2-331902675,S2-337342942,S2-344172324,S2-345272806,S2-369541504,S2-370692544,S2-374343532,S2-385827062,S2-388439250,S2-394075208,S2-399693573,S2-412738054,S2-416042606,S2-418024501,S2-429188312,S2-438138078,S2-444689981,S2-46396249,S2-470918220,S2-479633490,S2-488458484,S2-49373368,S2-499954469,S2-508312698,S2-515463498,S2-519293087,S2-5249014,S2-546565376,S2-558313297,S2-559185070,S2-565697065,S2-56982462,S2-583374810,S2-585782423,S2-593582889,S2-607190347,S2-611303255,S2-623615260,S2-624755567,S2-625809,S2-625985058,S2-636499443,S2-63799792,S2-6477009,S2-649897721,S2-652106481,S2-656823440,S2-656958751,S2-677611798,S2-678172951,S2-684105419,S2-687426597,S2-691655420,S2-701055165,S2-70307418,S2-711491305,S2-712607095,S2-71438634,S2-723622881,S2-73504947,S2-735171188,S2-735277688,S2-746381015,S2-74718414,S2-755046079,S2-761057117,S2-765737381,S2-76664461,S2-774919033,S2-77908634,S2-78353097,S2-783674621,S2-801932075,S2-813083296,S2-822508427,S2-82336814,S2-823837773,S2-825134729,S2-837278903,S2-853410392,S2-868421102,S2-892092328,S2-893182489,S2-901209001,S2-910390266,S2-91166285,S2-923294506,S2-924958170,S2-92829636,S2-941540192,S2-951482884,S2-958981132,S2-964761635,S2-969389534,S2-97112969,S2-974315505,S2-996044197,S3-102143125,S3-108695533,S3-109648681,S3-123027112,S3-129454211,S3-131870872,S3-132577476,S3-132765519,S3-153842101,S3-162205350,S3-162644113,S3-193095491,S3-194642982,S3-203230219,S3-211551703,S3-214441232,S3-217840311,S3-220710972,S3-230951719,S3-237100947,S3-249715302,S3-252158450,S3-255336102,S3-257586307,S3-265143084,S3-269526503,S3-278505732,S3-28198580,S3-283371159,S3-286277740,S3-293938554,S3-295752274,S3-297162548,S3-326911959,S3-377178468,S3-379722721,S3-385885826,S3-389699259,S3-398524411,S3-413113395,S3-421285777,S3-435918909,S3-463239881,S3-466091912,S3-480031842,S3-494175256,S3-494587132,S3-513185859,S3-531398316,S3-541306924,S3-573025972,S3-612386170,S3-613061357,S3-625876967,S3-643247906,S3-653481365,S3-679605353,S3-679742755,S3-680732410,S3-682027190,S3-685837244,S3-689372972,S3-713920460,S3-720498628,S3-745016453,S3-745059144,S3-751308137,S3-758888204,S3-762232043,S3-763518605,S3-768550403,S3-780895234,S3-800311175,S3-814861720,S3-820313901,S3-830280022,S3-860514544,S3-880412401,S3-88080308,S3-886341861,S3-906743337,S3-907542655,S3-937457215,S3-950565040,S3-980313364,S3-993291988,S3-994769523,S3-99787404
S1-393157555	S2-10057570,S2-126959727,S2-144310213,S2-258668199,S2-307406211,S2-328026019,S2-353817699,S2-387000265,S2-393062716,S2-448327659,S2-47519910,S2-533797748,S2-573750602,S2-582612363,S2-642301996,S2-732841741,S2-744497903,S2-768602659,S2-840171851,S3-139806077,S3-145345723,S3-189737278,S3-192502640,S3-276678375,S3-471663404,S3-593017758,S3-602914560,S3-611372403,S3-643646525,S3-680050747,S3-724440924,S3-908376458
S1-528999441	S2-125835922,S2-408187589
S1-445131173	S3-788878008
S1-906572599	
S1-720173062	S3-940995812
S1-779180246	
S1-812486340	S2-52549854,S2-595832786,S2-710451301,S3-24021924,S3-346602816,S3-511730332
S1-585692765	
S1-358447941	S2-13017582,S2-160670906,S2-169089178,S2-173929808,S2-30084538,S2-449074109,S2-541075728,S2-558996781,S2-622865898,S2-867203125,S3-166011370,S3-179847300,S3-217934702,S3-305152197,S3-345246307,S3-352430471,S3-357021660,S3-410829386,S3-415798299,S3-487196475,S3-703559928,S3-807414504,S3-885278074
S1-206894799	S2-743690792,S3-222453609,S3-297530036,S3-700441089,S3-986090300
S1-27158214	
S1-196578854	
S1-624045976	S2-546216158,S2-999029849,S3-877423115
S1-362520	S2-148561205,S2-468702497,S3-732493238
S1-463548524	S3-508470288
S1-897226407	S2-701307697
S1-645713459	S3-257026564
S1-229555888	
S1-68456921	S2-158678315,S2-406316887,S3-180491959,S3-244607113,S3-553089099,S3-5696563,S3-899169590
S1-992003464	
S1-912947277	
S1-417264639	
S1-470845482	
S1-987779515	
S1-509283665	
S1-619895264	S3-831781219
S1-17339733	S2-114151083,S2-251558083,S2-371975350,S2-384290515,S2-404507938,S2-443734222,S2-449062727,S2-523679120,S2-524437700,S2-535974822,S2-537917665,S2-564277657,S2-575975939,S2-580219358,S2-584544863,S2-639922004,S2-697227866,S2-709664767,S2-770619736,S2-788242904,S2-806567910,S2-811242997,S2-865505015,S2-907480456,S2-92304840,S3-128290536,S3-189854756,S3-264266651,S3-383143404,S3-389380336,S3-404256184,S3-526778647,S3-534112128,S3-639297551,S3-640446761,S3-652388107,S3-662713167,S3-664721355,S3-711557959,S3-780187444,S3-836424077,S3-86344499,S3-901423871,S3-93133807,S3-943743075,S3-983118723
S1-647059934	
S1-161901150	
S1-241742700	S2-604421478
S1-512634625	S2-607059727,S3-749140729
S1-37213524	S2-552384569,S2-857019862,S3-979178383
S1-916773322	S3-455464923
S1-263724589	S2-582013558,S2-827587740,S3-273939716,S3-412011468,S3-667115764,S3-680438236,S3-70097633,S3-956812064,S3-994382087
S1-734453985	S2-24120350
S1-722883348	S2-243935418,S2-371545,S2-383942215,S2-442790909,S2-501466729,S2-535083529,S2-552232525,S2-7517031,S3-110030824,S3-146414081,S3-290350396,S3-366192396,S3-373858971,S3-441104557,S3-83823321,S3-942796641
S1-309101313	
S1-266640251	
S1-619068107	
S1-706856946	S3-911606801
S1-774836812	S2-279885139
S1-452691275	
S1-277375862	
S1-110602510	
S1-770963722	
S1-341378122	S3-392501269
S1-202909837	
S1-520992658	
S1-277391322	S2-232141615,S3-76787958
S1-638110492	S3-138173442,S3-292762495
S1-844896591	S2-362218588,S2-828874718,S3-11966366
S1-245014023	S2-210228279,S3-3933554,S3-691491277
S1-790771894	S2-392820350,S3-291773026
S1-437422427	S2-175131501,S2-192559236,S2-214695303,S2-21486517,S2-303642659,S2-309477737,S2-328591883,S2-332819941,S2-33413316,S2-387790263,S2-402152771,S2-425381476,S2-450217425,S2-51461156,S2-571348444,S2-575090762,S2-578340331,S2-579128567,S2-587033229,S2-588846727,S2-612255371,S2-622288658,S2-626126824,S2-662676898,S2-711149669,S2-723295871,S2-728564926,S2-763281025,S2-847228786,S2-872586520,S2-892744162,S2-907151798,S2-92264608,S2-937755435,S2-959700168,S3-125804348,S3-126769570,S3-128190886,S3-141888660,S3-14417359,S3-152525993,S3-154266605,S3-155388074,S3-16674212,S3-178701540,S3-218052408,S3-240453932,S3-240760014,S3-264859800,S3-305181215,S3-367657110,S3-381079405,S3-404593985,S3-447034390,S3-489846740,S3-507926040,S3-536104253,S3-609837383,S3-618067263,S3-635796501,S3-652243552,S3-692776366,S3-69645137,S3-700231434,S3-80434240,S3-804698671,S3-840506141,S3-875323258,S3-905272245,S3-931199158,S3-941768411,S3-956928659,S3-958756236,S3-983876971,S3-985460035
S1-870525516	
S1-382138150	
